vaultId, timestamp, time, position value, min collateral
14 , 1652335412 , 5/12/2022, 3:03:32 PM , 176.15553128645422 , 200
14 , 1652335491 , 5/12/2022, 3:04:51 PM , 197.41721326195773 , 200
14 , 1652335526 , 5/12/2022, 3:05:26 PM , 161.8638638139554 , 200
14 , 1652335526 , 5/12/2022, 3:05:26 PM , 182.47332070403115 , 200
14 , 1652348237 , 5/12/2022, 6:37:17 PM , 184.85261703005006 , 200
14 , 1652348312 , 5/12/2022, 6:38:32 PM , 174.4089388545134 , 200
14 , 1652348348 , 5/12/2022, 6:39:08 PM , 168.11159452312666 , 200
14 , 1652353629 , 5/12/2022, 8:07:09 PM , 197.73910797735243 , 200
14 , 1652354540 , 5/12/2022, 8:22:20 PM , 196.94291180736172 , 200
15 , 1652328860 , 5/12/2022, 1:14:20 PM , 176.49039569455374 , 200
15 , 1652328860 , 5/12/2022, 1:14:20 PM , 167.3062260611456 , 200
15 , 1652328964 , 5/12/2022, 1:16:04 PM , 171.97073158945352 , 200
15 , 1652328964 , 5/12/2022, 1:16:04 PM , 164.435651540428 , 200
15 , 1652332363 , 5/12/2022, 2:12:43 PM , 162.78592384073795 , 200
15 , 1652332363 , 5/12/2022, 2:12:43 PM , 153.68502276767936 , 200
15 , 1652332483 , 5/12/2022, 2:14:43 PM , 147.55564366100282 , 200
15 , 1652332483 , 5/12/2022, 2:14:43 PM , 153.45379467295118 , 200
15 , 1652332483 , 5/12/2022, 2:14:43 PM , 119.8207090025686 , 200
15 , 1652332552 , 5/12/2022, 2:15:52 PM , 93.92447725371244 , 200
15 , 1652332625 , 5/12/2022, 2:17:05 PM , 161.81144597293292 , 200
15 , 1652332677 , 5/12/2022, 2:17:57 PM , 170.2575095591152 , 200
15 , 1652332677 , 5/12/2022, 2:17:57 PM , 165.1502811166166 , 200
15 , 1652332757 , 5/12/2022, 2:19:17 PM , 191.38820837623018 , 200
15 , 1652335003 , 5/12/2022, 2:56:43 PM , 197.68524025678653 , 200
